Agent ID,Renewal Status,Policy Discounts,Risk Score,Policy ID,Discount Buckets,Risk Score Buckets
AGT43228742,Not Renewed,31,42,POL27806251,<40%,Medium Risk(<=50)
AGT46808172,Pending,12,76,POL96934398,<20%,Very High Risk(75+)
AGT32340750,Pending,17,5,POL93505220,<20%,Low Risk(<=25)
AGT68647921,Not Renewed,18,80,POL39531025,<20%,Very High Risk(75+)
AGT57092464,Pending,28,1,POL38769300,<40%,Low Risk(<=25)
AGT47653967,Renewed,25,36,POL07841878,<40%,Medium Risk(<=50)
AGT05457971,Not Renewed,2,99,POL21963992,<20%,Very High Risk(75+)
AGT63127637,Not Renewed,13,100,POL64589705,<20%,Very High Risk(75+)
AGT49332725,Not Renewed,7,35,POL49133977,<20%,Medium Risk(<=50)
AGT70109277,Not Renewed,9,64,POL80278196,<20%,High Risk(<=75)
AGT41262935,Pending,11,80,POL89935970,<20%,Very High Risk(75+)
AGT39802391,Not Renewed,14,41,POL40425029,<20%,Medium Risk(<=50)
AGT69637553,Renewed,43,95,POL59138324,>40%,Very High Risk(75+)
AGT00978847,Pending,7,48,POL79312567,<20%,Medium Risk(<=50)
AGT65699402,Pending,15,62,POL05760636,<20%,High Risk(<=75)
AGT52126806,Pending,17,95,POL09606287,<20%,Very High Risk(75+)
AGT43950584,Not Renewed,0,82,POL70474651,No Discount,Very High Risk(75+)
AGT26990736,Renewed,39,83,POL89907664,<40%,Very High Risk(75+)
AGT85390293,Renewed,45,9,POL64943722,>40%,Low Risk(<=25)
AGT13144077,Renewed,31,29,POL90960707,<40%,Medium Risk(<=50)
AGT04680213,Pending,25,47,POL59179996,<40%,Medium Risk(<=50)
AGT89254638,Pending,47,35,POL24718635,>40%,Medium Risk(<=50)
AGT32533158,Pending,48,40,POL19704549,>40%,Medium Risk(<=50)
AGT79593844,Pending,16,24,POL99720690,<20%,Low Risk(<=25)
AGT42929675,Not Renewed,8,77,POL07613630,<20%,Very High Risk(75+)
AGT58174916,Pending,42,46,POL68368522,>40%,Medium Risk(<=50)
AGT62130200,Pending,29,44,POL96166579,<40%,Medium Risk(<=50)
AGT02968022,Renewed,27,61,POL78863924,<40%,High Risk(<=75)
AGT46386081,Pending,11,10,POL66542527,<20%,Low Risk(<=25)
AGT45322995,Pending,41,87,POL21617511,>40%,Very High Risk(75+)
AGT60595923,Not Renewed,30,72,POL96023706,<40%,High Risk(<=75)
AGT31312804,Renewed,0,3,POL42325037,No Discount,Low Risk(<=25)
AGT57898434,Pending,40,46,POL40460695,<40%,Medium Risk(<=50)
AGT18996802,Pending,31,49,POL78206308,<40%,Medium Risk(<=50)
AGT88632369,Not Renewed,16,60,POL52956070,<20%,High Risk(<=75)
AGT70061804,Renewed,19,54,POL39046123,<20%,High Risk(<=75)
AGT03089985,Renewed,39,36,POL51620232,<40%,Medium Risk(<=50)
AGT46008376,Renewed,49,93,POL36575612,>40%,Very High Risk(75+)
AGT70796644,Pending,35,24,POL48412691,<40%,Low Risk(<=25)
AGT33496812,Renewed,46,56,POL15402724,>40%,High Risk(<=75)
AGT63219112,Not Renewed,24,32,POL83997445,<40%,Medium Risk(<=50)
AGT27491994,Renewed,13,100,POL20505761,<20%,Very High Risk(75+)
AGT98172610,Pending,47,35,POL69974800,>40%,Medium Risk(<=50)
AGT34186806,Pending,2,52,POL30601696,<20%,High Risk(<=75)
AGT05021501,Pending,7,68,POL62179381,<20%,High Risk(<=75)
AGT18473213,Pending,44,38,POL77239759,>40%,Medium Risk(<=50)
AGT81391380,Not Renewed,27,75,POL44219481,<40%,High Risk(<=75)
AGT00296873,Not Renewed,27,25,POL75428993,<40%,Low Risk(<=25)
AGT09870015,Renewed,23,23,POL65504828,<40%,Low Risk(<=25)
AGT02089326,Renewed,11,3,POL96603488,<20%,Low Risk(<=25)
AGT82511992,Pending,28,28,POL13213398,<40%,Medium Risk(<=50)
AGT24479233,Pending,27,92,POL27777205,<40%,Very High Risk(75+)
AGT46426143,Pending,32,78,POL30200147,<40%,Very High Risk(75+)
AGT00778173,Pending,37,55,POL32552913,<40%,High Risk(<=75)
AGT36991573,Not Renewed,7,3,POL35209226,<20%,Low Risk(<=25)
AGT08478371,Not Renewed,10,53,POL51049013,<20%,High Risk(<=75)
AGT52042395,Pending,4,22,POL79914241,<20%,Low Risk(<=25)
AGT88851041,Renewed,34,56,POL63077295,<40%,High Risk(<=75)
AGT29625804,Not Renewed,38,64,POL19274658,<40%,High Risk(<=75)
AGT39587181,Renewed,50,36,POL28043223,>40%,Medium Risk(<=50)
AGT57527336,Not Renewed,11,45,POL43343233,<20%,Medium Risk(<=50)
AGT87797273,Not Renewed,9,54,POL02336146,<20%,High Risk(<=75)
AGT58491749,Renewed,4,1,POL01239814,<20%,Low Risk(<=25)
AGT24832912,Renewed,17,33,POL64805692,<20%,Medium Risk(<=50)
AGT23653110,Not Renewed,38,42,POL79704681,<40%,Medium Risk(<=50)
AGT41354483,Pending,46,33,POL77826609,>40%,Medium Risk(<=50)
AGT70367808,Not Renewed,3,18,POL06037561,<20%,Low Risk(<=25)
AGT96446016,Renewed,8,1,POL50239325,<20%,Low Risk(<=25)
AGT02017880,Pending,18,66,POL83266915,<20%,High Risk(<=75)
AGT64295113,Pending,46,49,POL18867984,>40%,Medium Risk(<=50)
AGT97767020,Not Renewed,8,18,POL50802042,<20%,Low Risk(<=25)
AGT34431565,Renewed,39,63,POL76748109,<40%,High Risk(<=75)
AGT59958517,Not Renewed,39,68,POL48874486,<40%,High Risk(<=75)
AGT49653858,Not Renewed,29,42,POL91116374,<40%,Medium Risk(<=50)
AGT82729240,Renewed,9,69,POL91686015,<20%,High Risk(<=75)
AGT49414273,Renewed,2,39,POL13029856,<20%,Medium Risk(<=50)
AGT48089898,Renewed,4,56,POL28573734,<20%,High Risk(<=75)
AGT35851031,Renewed,47,20,POL90664485,>40%,Low Risk(<=25)
AGT34601248,Renewed,41,97,POL25630495,>40%,Very High Risk(75+)
AGT49109239,Pending,31,36,POL58909677,<40%,Medium Risk(<=50)
