Claim ID,Date of Claim,Claim Amount,Claim Status,Reason for Claim,Settlement Date,Policy ID,Claim Settlement Days,Claim Settlement Buckets
CLM77924411,45505,54655,Approved,Song member cover lose effect wall walk.,45516,POL56612277,11,<30 Days
CLM28779034,45295,94225,Pending,Mean model toward might main maintain.,45339,POL69932027,44,<60 Days
CLM42025979,45381,17652,Approved,Day outside produce easy.,,POL42688275,0,Not Settled
CLM69566101,44930,69929,Approved,Start after receive daughter newspaper change.,44981,POL66279716,51,<60 Days
CLM58620367,44764,96366,Approved,Policy yet yes improve draw some.,,POL77439955,0,Not Settled
CLM07454489,44014,63905,Denied,Success move worker among.,44065,POL64965934,51,<60 Days
CLM27552701,44592,61121,Pending,Professor four degree feeling person author cell.,44610,POL73019543,18,<30 Days
CLM77756278,44795,12547,Pending,Science own thing from class senior provide.,44837,POL19552952,42,<60 Days
CLM05146130,44162,57203,Denied,Together mouth various child cultural.,,POL07805552,0,Not Settled
CLM19272700,44084,62916,Approved,Both remain note instead first probably.,44145,POL88177917,61,<90 Days
CLM85060604,44289,79536,Denied,Company raise drive.,44304,POL71221796,15,<30 Days
CLM86056395,44930,21469,Denied,Church option sometimes pick their arm century.,45001,POL61467343,71,<90 Days
CLM98463712,44903,65329,Denied,Shake age official become season.,44928,POL62363777,25,<30 Days
CLM98579912,45446,80670,Pending,Seek political threat about join determine.,45467,POL50374708,21,<30 Days
CLM90637957,44216,45282,Pending,Network bit someone strong mention.,44271,POL88242759,55,<60 Days
CLM12125464,45325,50353,Denied,Window above operation perhaps teach east world bit.,45343,POL27437608,18,<30 Days
CLM45720439,45049,39427,Denied,Scientist account cover central song.,45111,POL77019254,62,<90 Days
CLM50141230,44554,43102,Pending,Always crime indeed idea back.,,POL72656147,0,Not Settled
CLM97150673,45523,35473,Pending,Center without look hundred difference writer most.,45553,POL19255943,30,<30 Days
CLM51837945,44691,13146,Approved,While operation interview determine let movement.,44740,POL85518381,49,<60 Days
CLM82967170,44637,2324,Pending,Option mean marriage news wait major.,44657,POL32845970,20,<30 Days
CLM62837956,43959,36126,Denied,Agent several by century quality dream above.,,POL95370014,0,Not Settled
CLM53724406,43851,80226,Approved,Director benefit movie want increase shake stage.,,POL45794212,0,Not Settled
CLM16412694,44910,32102,Approved,Nothing body who stand.,44971,POL61653642,61,<90 Days
CLM51625573,45276,31862,Pending,Only bill later huge.,45304,POL93167566,28,<30 Days
CLM51036457,45089,25719,Denied,Water reduce shoulder technology knowledge discussion network then.,45143,POL67872849,54,<60 Days
CLM04762722,44060,3571,Approved,Accept billion sure peace hold meeting.,44079,POL61884063,19,<30 Days
CLM43338826,45440,80190,Denied,Myself none late.,45483,POL89077589,43,<60 Days
CLM66194342,44935,56151,Denied,Bill few morning executive old.,45021,POL23806593,86,<90 Days
CLM27235742,44191,83640,Denied,Act new real know live.,,POL29474046,0,Not Settled
CLM02888122,44028,9836,Pending,Rule special Democrat million.,44060,POL96504333,32,<60 Days
CLM23673303,43839,22275,Pending,Send ok soldier end.,43902,POL81591533,63,<90 Days
CLM98491523,45301,77913,Approved,Month station thing police level.,45318,POL01681251,17,<30 Days
CLM20286630,44269,39165,Denied,According plan week peace officer particularly.,,POL13181377,0,Not Settled
CLM66676001,44530,90112,Approved,Anyone national speak protect professor process station.,44565,POL43969785,35,<60 Days
CLM16206090,44045,18632,Denied,Indeed particular keep feeling allow individual.,,POL34180846,0,Not Settled
CLM93705007,45132,35200,Approved,Again evidence yourself somebody light already.,45182,POL21441518,50,<60 Days
CLM86984670,44514,31749,Denied,Eat among change goal.,44524,POL64544270,10,<30 Days
CLM90814794,45359,7435,Denied,Great near boy success.,45420,POL54561530,61,<90 Days
CLM55030421,45257,76501,Pending,Education themselves see letter remember unit director.,45329,POL95768809,72,<90 Days
CLM38868037,44079,90208,Pending,American material style through evidence southern deep.,,POL96685286,0,Not Settled
CLM09669839,44210,84492,Denied,Sign human long air already federal peace art.,44291,POL82401042,81,<90 Days
CLM18327776,43834,51746,Approved,Find where back sea program fear.,43856,POL03461173,22,<30 Days
CLM60097748,44505,21838,Pending,Deal service agent already improve style.,44577,POL59179996,72,<90 Days
CLM57112717,44502,28629,Approved,Two second say if tough voice.,,POL23145476,0,Not Settled
CLM65938667,45140,80531,Denied,Movie so writer price rise tell old.,45152,POL82016751,12,<30 Days
CLM14071810,44822,73972,Pending,Head mission number natural model.,44895,POL09137788,73,<90 Days
CLM56509285,44878,53398,Pending,Crime speak fill step.,44907,POL70419372,29,<30 Days
CLM11001484,44284,62327,Denied,Group top woman everyone quickly question majority.,,POL90801398,0,Not Settled
CLM65918046,44101,30879,Pending,Doctor especially today value become term identify.,,POL82791377,0,Not Settled
CLM81536271,44811,18231,Pending,Year else front than choice.,44862,POL15877374,51,<60 Days
CLM14776484,45080,33327,Approved,Why alone its open upon.,,POL59779212,0,Not Settled
CLM33580673,45046,89459,Denied,Both series shoulder specific offer language traditional.,,POL07342539,0,Not Settled
