Payment ID,Date of Payment,Amount Paid,Payment Method,Payment Status,Policy ID
PAY00503494,45338,1121.13,Cash,Successful,POL09901587
PAY78887551,44945,1420.69,Bank Transfer,Successful,POL73324138
PAY14700139,45138,490.76,Cash,Successful,POL71278302
PAY00915248,44658,1150.59,Cash,Failed,POL24753734
PAY94123626,44778,1490.26,Cash,Failed,POL18290935
PAY53415430,45540,1318.96,Credit Card,Failed,POL98372511
PAY84843365,45187,158.43,Cash,Failed,POL20843719
PAY97836039,45196,994.21,Credit Card,Failed,POL03845436
PAY65075228,44965,233.3,Bank Transfer,Successful,POL70775475
PAY17334868,45457,176.91,Bank Transfer,Failed,POL23603808
PAY39650460,44903,513.88,Cash,Failed,POL52535973
PAY81033711,45545,380.15,Credit Card,Failed,POL52256054
PAY23131064,45530,885.34,Credit Card,Failed,POL10285665
PAY61404327,44815,476.34,Bank Transfer,Failed,POL04601577
PAY70078321,44614,1296.45,Cash,Failed,POL93399992
PAY46848057,44698,129.52,Bank Transfer,Failed,POL30420925
PAY71647365,45327,663.46,Credit Card,Successful,POL65725229
PAY44865582,45316,452.98,Cash,Successful,POL06989593
PAY38998359,45393,777.54,Credit Card,Successful,POL39585916
PAY72241449,44597,102.79,Credit Card,Failed,POL79940322
PAY87905940,45615,1423.5,Cash,Successful,POL99941160
PAY04724076,44711,418.47,Bank Transfer,Failed,POL56060343
PAY12613104,44625,1154.16,Credit Card,Failed,POL93664406
PAY77543077,45642,1276.35,Bank Transfer,Successful,POL03123237
PAY47346394,45479,908.13,Bank Transfer,Failed,POL93775978
PAY55889575,44639,1099.68,Credit Card,Failed,POL23778009
PAY23205278,44927,728.14,Bank Transfer,Failed,POL21956809
PAY95814567,45018,1263.27,Cash,Successful,POL67043142
PAY50561125,44910,1165.26,Bank Transfer,Failed,POL81192447
PAY69438502,44634,1234.66,Bank Transfer,Successful,POL98385553
PAY29494840,45413,742.54,Bank Transfer,Failed,POL45444901
