Policy ID,Policy Type,Coverage Amount,Premium Amount,Policy Start Date,Policy End Date,Payment Frequency,Status,Customer ID,Policy Tenure,Policy Tenure Buckets
POL27806251,Property,436672,1273.79,43461,45525,Monthly,Lapsed,CUST55344519,2064,<6 years
POL96934398,Auto,102437,1556.75,44442,45506,Monthly,Terminated,CUST71194311,1064,<4 years
POL93505220,Auto,88101,886.53,43130,46025,Monthly,Lapsed,CUST58699451,2895,<8 years
POL39531025,Property,459915,197.75,44654,48259,Quarterly,Terminated,CUST72186583,3605,>8yrs
POL38769300,Health,22098,868.51,44471,46648,Quarterly,Active,CUST04808502,2177,<6 years
POL07841878,Health,347514,1931.83,44091,46262,Monthly,Active,CUST47527169,2171,<6 years
POL21963992,Property,288036,247.04,43186,43681,Monthly,Active,CUST57892719,495,<2 years
POL64589705,Health,394231,152.13,45457,45995,Quarterly,Terminated,CUST97231935,538,<2 years
POL49133977,Property,148162,1383.65,42100,43731,Quarterly,Terminated,CUST67080051,1631,<6 years
POL80278196,Life,376522,1546.14,44136,46560,Quarterly,Lapsed,CUST45705025,2424,<8 years
POL89935970,Property,499740,1488.73,44246,46730,Quarterly,Active,CUST47003736,2484,<8 years
POL40425029,Life,413248,279.96,44415,45463,Monthly,Active,CUST15756529,1048,<4 years
POL59138324,Health,274869,288.84,44030,46514,Annually,Lapsed,CUST24464034,2484,<8 years
POL79312567,Auto,17245,186.85,45546,49062,Annually,Active,CUST18926459,3516,>8yrs
POL05760636,Life,86153,1863.95,45567,46672,Annually,Active,CUST92370305,1105,<4 years
POL09606287,Life,430745,722.68,45295,45990,Monthly,Terminated,CUST93527354,695,<2 years
POL70474651,Health,327028,962.68,45235,47622,Monthly,Lapsed,CUST54507478,2387,<8 years
POL89907664,Life,74169,492.23,44624,47127,Monthly,Terminated,CUST00235004,2503,<8 years
POL64943722,Health,221353,824.14,45283,47600,Annually,Terminated,CUST54318231,2317,<8 years
POL90960707,Health,276513,890.01,44883,45913,Annually,Active,CUST65008360,1030,<4 years
POL59179996,Property,209276,315.72,43135,45756,Monthly,Active,CUST18337391,2621,<8 years
POL24718635,Property,284606,730.56,44769,46734,Annually,Active,CUST94024764,1965,<6 years
POL19704549,Property,107142,872.55,43322,45811,Quarterly,Lapsed,CUST37162794,2489,<8 years
POL99720690,Life,43579,981.71,42112,45124,Monthly,Active,CUST80574300,3012,>8yrs
POL07613630,Health,103548,1927.96,43499,46229,Monthly,Active,CUST53450793,2730,<8 years
POL68368522,Health,467228,1359.2,43786,45904,Annually,Lapsed,CUST00957425,2118,<6 years
POL96166579,Life,132969,1666.16,42829,45596,Monthly,Terminated,CUST78371218,2767,<8 years
POL78863924,Health,192018,1528.72,44097,45259,Monthly,Lapsed,CUST36691624,1162,<4 years
POL66542527,Life,209098,1670.55,43608,45412,Quarterly,Active,CUST09670639,1804,<6 years
POL21617511,Health,302289,748.41,43950,46892,Quarterly,Terminated,CUST23186598,2942,>8yrs
POL96023706,Life,312505,1031.19,43825,47112,Annually,Active,CUST47187133,3287,>8yrs
POL42325037,Property,169535,824.98,42511,43248,Quarterly,Terminated,CUST71225485,737,<4 years
POL40460695,Auto,56730,1622.87,45060,48392,Quarterly,Lapsed,CUST00428034,3332,>8yrs
POL78206308,Property,171704,1598.68,44074,44454,Quarterly,Lapsed,CUST60187719,380,<2 years
POL52956070,Auto,382120,1501.18,45203,46758,Monthly,Active,CUST25673219,1555,<6 years
